headword,sense,concept,similarity,pos,concepticon_pos,sense_id,concepticon_id,include,certainty
Ø,to give,GIVE,20,Ditransitive verb,verb,SN000001,1447,1,
a'a,[agreement interjection]; yes,YES,15,Interjection,other,SN000005,1268,1,
adat,tradition,CUSTOM,19,Noun,noun,SN000006,1747,1,
afukat,avocado,AVOCADO,19,Noun,noun,SN000010,3725,1,
ahat,Sunday,SUNDAY,19,Noun,noun,SN000011,1699,1,
-ahutak,[quantifying pronoun suffix]; alone,ALONE,15,Grammatical marker,adjective,SN000012,1964,1,
ajar,to teach,TEACH,20,Verb,verb,SN000013,709,1,
ajar,to continue,CONTINUE,20,Verb,verb,SN000014,3699,1,
akal,sense,SENSE (PERCEIVE BY SENSES),19,Noun,verb,SN000016,2572,1,
aknar,chest,CHEST,19,Noun,noun,SN000017,1592,1,
aknar kangun,collarbone; breastbone,COLLARBONE,15,Noun,noun,SN000018,1994,1,
*al,string; vine; grass,GRASS,15,Noun,noun,SN000020,606,1,
am,breast; breast milk,BREAST,15,Noun,noun,SN000027,1402,1,
am belun,"nipple, teat",NIPPLE,19,Noun,noun,SN000028,796,1,
amdir,garden,GARDEN,19,Noun,noun,SN000030,586,1,
amkeit,to give birth,GIVE BIRTH,20,Verb,verb,SN000032,1195,1,
an,[first person singular pronoun]; I,I,15,Pronoun,other,SN000033,1209,1,
-an,[first person singular possessive pronoun]; my,MY,15,Grammatical marker,other,SN000034,2090,1,
anggas,door,DOOR,19,Noun,noun,SN000039,1567,1,
anggas padenun,doorpost,DOORPOST,19,Noun,noun,SN000040,80,1,
anggon,[first person singular possessive]; my,MY,15,Pronoun,other,SN000041,2090,1,
anka,number,NUMBER,19,Noun,noun,SN000042,1356,1,
anting,earrings,EARRING,19,Noun,noun,SN000044,770,1,
ap,five,FIVE,19,Quantifier,numeral,SN000046,493,1,
ar,to dive,DIVE,20,Verb,verb,SN000047,119,1,
ar,sound,SOUND (OF INSTRUMENT OR VOICE),19,Noun,verb,SN000050,2879,1,
*ar,stem (of a tree or plant); tree,TREE,15,Noun,noun,SN000051,906,1,
aragadi,saw,SAW,19,Noun,noun,SN000054,1948,1,
aremun,to be big (of a tree or house),BIG,11,Intransitive verb,adjective,SN000057,1202,1,
arep,"pond; enclosed bay; sometimes used to refer to Arepner, the bay in Mas",POND,15,Noun,noun,SN000058,2035,1,
ariemun,Friday,FRIDAY,19,Noun,noun,SN000061,1692,1,
arun,stem,PLANT STEM,19,Noun,noun,SN000062,2628,1,
arwa,spirit,SPIRIT,19,Noun,noun,SN000063,53,1,
*as,edge,EDGE,19,Noun,noun,SN000064,863,1,
asun,edge,EDGE,19,Noun,noun,SN000069,863,1,
atau,or,OR,19,Conjunction,other,SN000071,1014,1,
ator,to arrange,ARRANGE,20,Verb,verb,SN000072,1568,1,
au,infant,BABY,19,Noun,noun,SN000073,1289,1,
ba,but,BUY,19,Conjunction,verb,SN000074,1869,1,
bal,dog,DOG,19,Noun,noun,SN000079,2009,1,
balaok,to show,SHOW,20,Verb,verb,SN000082,1039,1,
baluku,freshwater eel,FRESHWATER EEL,19,Noun,noun,SN000086,1013,1,
banku,bench,BENCH,19,Noun,noun,SN000087,2584,1,
bara,to descend; to move down,GO DOWN (DESCEND),16,Verb,verb,SN000088,2014,1,
barahala,to be lazy,LAZY,11,Verb,adjective,SN000089,1564,1,
barang,turmeric,TURMERIC,19,Noun,noun,SN000092,2842,1,
baranggap,to be yellow,YELLOW,11,Intransitive verb,adjective,SN000093,1424,1,
baru,then; so; only then; new,NEW,15,Conjunction,adjective,SN000095,1231,1,
bataku,brick,BRICK,19,Noun,noun,SN000096,1006,1,
bawang iriskapten,garlic,GARLIC,19,Noun,noun,SN000097,2368,1,
bayam,spinach,SPINACH,19,Noun,noun,SN000099,975,1,
bebak,duck,DUCK,19,Noun,noun,SN000101,1360,1,
bekiem,shoulder,SHOULDER,19,Noun,noun,SN000102,1482,1,
bekiemkang,shoulderblade,SHOULDERBLADE,19,Noun,noun,SN000103,172,1,
belajar,to learn; to study,LEARN,16,Verb,verb,SN000105,504,1,
belbel,(of a tip) to be sharp,SHARP,11,Intransitive verb,adjective,SN000106,1396,1,
belek,can (food container),BE ABLE,11,Noun,verb,SN000107,972,1,
belen,tongue,TONGUE,19,Noun,noun,SN000108,1205,1,
bes,to be good,GOOD,19,Intransitive verb,adjective,SN000109,1035,1,
bir,beer,BEER,19,Noun,noun,SN000117,1639,1,
bisa,can; to be possible,BE ABLE,15,Verb,verb,SN000119,972,1,
bo,to go,GO,20,Verb,verb,SN000121,695,1,
bo,until,UNTIL,19,Verb,other,SN000122,2753,1,
boda,to be stupid,STUPID,11,Intransitive verb,adjective,SN000123,1518,1,
bol,mouth; rim,MOUTH,15,Noun,noun,SN000124,674,1,
bola,ball,BALL,19,Noun,noun,SN000125,1845,1,
bolkoyal,to eat,EAT,20,Verb,verb,SN000126,1336,1,
bolkul,lip,LIP,19,Noun,noun,SN000127,478,1,
bolon,a little,A LITTLE,19,Quantifier,other,SN000129,2924,1,
bon,to bring,BRING,20,Verb,verb,SN000130,692,1,
=bon,[comitative case marker]; with; and,AND,15,Grammatical marker,other,SN000131,1577,1,
bonaras,to be angry (with child),BE ANGRY,12,Verb,verb,SN000132,2223,1,
bonasau,"to do a (repetitive, difficult, annoying) task; to try",TRY,16,Verb,verb,SN000133,1812,1,
bor,to drill,BORE,20,Verb,verb,SN000135,1501,1,
bor,drill,DRILL,19,Noun,noun,SN000136,3423,1,
borma,to open (of one's limbs),OPEN,12,Transitive verb,verb,SN000138,1156,1,
bot,journey,JOURNEY,19,Noun,verb,SN000140,2393,1,
botal,bottle,BOTTLE,19,Noun,noun,SN000141,1321,1,
boukbouk,to bark,BARKING,20,Verb,verb,SN000143,1206,1,
bubir,porridge,CONGEE,19,Noun,noun,SN000144,2049,1,
buk,book,BOOK,19,Noun,noun,SN000146,963,1,
bunga,flower,FLOWER,19,Noun,noun,SN000148,239,1,
buokbuok,to chew betel,CHEW BETEL,20,Verb,verb,SN000155,3161,1,
bustang,nose,NOSE,19,Noun,noun,SN000162,1221,1,
bustang posun,nostril,NOSTRIL,19,Noun,noun,SN000163,1178,1,
but,stairs,STAIRS,19,Noun,noun,SN000164,34,1,
-ca,[second person possessive]; your,YOUR (SINGULAR),15,Grammatical marker,other,SN000165,732,1,
-cam,man,MAN,19,Grammatical marker,noun,SN000169,1554,1,
campur,to mix,MIX,20,Verb,verb,SN000170,2017,1,
canam,man; male,MAN,15,Noun,noun,SN000171,1554,1,
cangkir,cup,CUP,19,Noun,noun,SN000172,476,1,
cat,to paint,PAINTING,20,Verb,verb,SN000173,2001,1,
caun,small,SMALL,19,Noun,adjective,SN000174,1246,1,
-ce,[second person plural possessive]; your,YOUR (SINGULAR),15,Grammatical marker,other,SN000175,732,1,
cek,to check,CHECK,20,Verb,verb,SN000176,1975,1,
cerita,to tell; to tell a story,TELL,16,Verb,verb,SN000178,1711,1,
cerita,story,STORY,19,Noun,noun,SN000179,2060,1,
cicaun,to be small,SMALL,19,Intransitive verb,adjective,SN000180,1246,1,
cici,drop,DROP,19,Noun,verb,SN000182,750,1,
coba,to try,TRY,20,Verb,verb,SN000184,1812,1,
cok,sugar palm; palm wine,SUGAR PALM,15,Noun,noun,SN000185,3029,1,
dagim,meat; animal,MEAT,15,Noun,noun,SN000187,634,1,
dalang,to jump,JUMP,20,Verb,verb,SN000190,1829,1,
dan,to bury,BURY,20,Verb,verb,SN000195,1719,1,
dare,to sink,SINK (DESCEND),20,Verb,verb,SN000197,1088,1,
dareok,to swallow,SWALLOW,20,Verb,verb,SN000198,897,1,
daru,west,WEST,19,Noun,noun,SN000201,1817,1,
dedesi,noose,NOOSE,19,Noun,noun,SN000206,2604,1,
deir,to push; to bring,PUSH,16,Verb,verb,SN000207,1452,1,
delepdelep,to blink; to shimmer; to shine,SHINE,16,Verb,verb,SN000209,708,1,
didir,fireplace,FIREPLACE,19,Noun,noun,SN000213,185,1,
didiras,kitchen,KITCHEN,19,Noun,noun,SN000214,1365,1,
diguar,smoke,SMOKE (EXHAUST),19,Noun,noun,SN000215,778,1,
din,fire,FIRE,19,Noun,noun,SN000218,221,1,
din songsong,embers,EMBERS,19,Noun,noun,SN000220,67,1,
dinan,to burn,BURN,20,Verb,verb,SN000221,2102,1,
dodon,things; clothes,CLOTHES,15,Noun,noun,SN000226,1895,1,
-dok,side,SIDE,19,Grammatical marker,noun,SN000227,682,1,
don,thing,THING,19,Noun,noun,SN000232,738,1,
don iriskap,"sugar (used when speakers want to conceal that there is no sugar when there are guests in the house); lit. white cloth or white stuff, also used as such",SUGAR,11,Noun,noun,SN000233,862,1,
don penpen,sugar (polite form),SUGAR,11,Noun,noun,SN000236,862,1,
don pernanan,glass; mug (polite),GLASS,15,Noun,noun,SN000237,604,1,
don yuolyuol,lamp (polite),LAMP,11,Noun,noun,SN000238,625,1,
dong,to be chewy; tense; stretched (of a rope or elastic band),TIGHT,15,Intransitive verb,adjective,SN000241,3053,1,
donselet,cloth; rag,CLOTH,15,Noun,noun,SN000242,1616,1,
dorma,to pull out,PULL OUT,20,Transitive verb,verb,SN000244,2325,1,
dorom,barrel,BARREL,19,Noun,noun,SN000245,2548,1,
dowi,seed,SEED,19,Noun,noun,SN000246,714,1,
dudin,cockroach,COCKROACH,19,Noun,noun,SN000249,1575,1,
duk,edge,EDGE,19,Noun,noun,SN000250,863,1,
durma,to perforate; to pierce; to make a hole,PIERCE,16,Transitive verb,verb,SN000257,398,1,
eba,then,THEN,19,Conjunction,other,SN000260,2921,1,
ecua,to cry,CRY,20,Verb,verb,SN000263,1839,1,
eir,two,TWO,19,Quantifier,numeral,SN000266,1498,1,
eiruk,to bend down; to kneel,KNEEL,16,Verb,verb,SN000267,66,1,
eksuet,to steal,STEAL,20,Verb,verb,SN000269,713,1,
eksuet,thief,THIEF,19,Noun,noun,SN000270,1160,1,
*elak,bottom; underside,BOTTOM,15,Noun,noun,SN000272,690,1,
elam,firefly,FIREFLY,19,Noun,noun,SN000273,206,1,
elao,under; below; at the bottom,BELOW OR UNDER,15,Noun,other,SN000274,1485,1,
elaun,bottom; underside,BOTTOM,15,Noun,noun,SN000275,690,1,
elkin narun,testicles,TESTICLES,19,Noun,noun,SN000277,797,1,
ema,mother; aunt; mother's sister; adult woman,MOTHER,15,Noun,noun,SN000279,1216,1,
ema caun,aunt; mother's younger sister,AUNT,15,Noun,noun,SN000281,1272,1,
ema temun,aunt; mother's elder sister,AUNT,15,Noun,noun,SN000282,1272,1,
emguk,to vomit,VOMIT,20,Verb,verb,SN000284,1278,1,
emguk,vomit,VOMIT,19,Noun,verb,SN000285,1278,1,
emnem,older or respected woman; grandmother,GRANDMOTHER,15,Noun,noun,SN000286,1496,1,
emun,"big (in compounds, often if part of a pair where one is big and one is small)",BIG,11,Noun,adjective,SN000290,1202,1,
emun,sap,SAP,19,Noun,noun,SN000291,345,1,
epko,behind; (in the) back,BEHIND,15,Noun,other,SN000297,1686,1,
epkon,one (group of living beings),ONE,11,Quantifier,numeral,SN000298,1493,1,
eren,body,BODY,19,Noun,noun,SN000301,1480,1,
eruap,to cry,CRY,20,Verb,verb,SN000303,1839,1,
es,ice (frozen water),ICE,11,Noun,noun,SN000304,617,1,
esa,father; adult man; father's brother,FATHER,15,Noun,noun,SN000305,1217,1,
esa caun,uncle; father's younger brother,UNCLE,15,Noun,noun,SN000306,1327,1,
esa temun,uncle; father's elder brother,UNCLE,15,Noun,noun,SN000308,1327,1,
esie,yes,YES,19,Interjection,other,SN000309,1268,1,
eskop,shovel,SHOVEL,19,Noun,noun,SN000310,1901,1,
esnem,grandfather; older or respected man,GRANDFATHER,15,Noun,noun,SN000312,1383,1,
-et,"person, [agentive nominaliser, not productive]",PERSON,11,Grammatical marker,noun,SN000316,683,1,
etaman,a few (animates),FEW,11,Quantifier,other,SN000318,1242,1,
etkon,one (animate),ONE,11,Quantifier,numeral,SN000319,1493,1,
ewa,to speak,SPEAK,20,Verb,verb,SN000321,1623,1,
ewawa,to speak,SPEAK,20,Verb,verb,SN000324,1623,1,
fakurat,to destroy,DESTROY,20,Verb,verb,SN000326,681,1,
fakurat,to be much,MUCH,11,Verb,other,SN000327,3452,1,
filoit,to whistle,WHISTLE,20,Verb,verb,SN000333,1025,1,
gaim,to sew leaves; to weave,WEAVE,16,Verb,verb,SN000336,133,1,
gala,spear,SPEAR,19,Noun,noun,SN000338,945,1,
galip,bud,BUD,19,Noun,noun,SN000339,1684,1,
gambar,picture,PICTURE,19,Noun,noun,SN000340,2401,1,
gampang,happy; satisfied,HAPPY,15,Noun,adjective,SN000341,1495,1,
-gan,all,ALL,19,Grammatical marker,other,SN000342,98,1,
gang,to hang,HANG,20,Verb,verb,SN000343,2884,1,
ganggang,to hang,HANG,20,Verb,verb,SN000344,2884,1,
ganggie,to lift (and move),LIFT,12,Verb,verb,SN000345,501,1,
gantor,office,OFFICE,19,Noun,noun,SN000346,2430,1,
gare,"to crawl (including the movement of babies, rats and turtles); to slither (including the movement of snakes and lizards)",CRAWL,12,Verb,verb,SN000348,96,1,
gareor,to pour; to dump; to throw away; to spill,POUR,16,Verb,verb,SN000349,1487,1,
garos,to be low (of tide),LOW,11,Intransitive verb,adjective,SN000350,721,1,
gawar,lungs,LUNG,19,Noun,noun,SN000354,688,1,
gawar,to smell; to be fragrant; to be rotten,SMELL,16,Verb,verb,SN000356,2124,1,
gawar,smell; odour; fragrance,SMELL,15,Noun,verb,SN000357,2124,1,
ge,not; no,NOT,15,Adverbial modifier,other,SN000360,1240,1,
ge mera,(I'm doing) nothing,NOTHING,11,Phrase,other,SN000361,687,1,
gelas,glass,GLASS,19,Noun,noun,SN000364,604,1,
gelas,to be clear,CLEAR (TO SEE),11,Verb,adjective,SN000365,3710,1,
gelem,to yawn,YAWN,20,Verb,verb,SN000366,1028,1,
gelembung,bubble,BUBBLE,19,Noun,noun,SN000367,3689,1,
gelemun,tusk,TUSK,19,Noun,noun,SN000368,3280,1,
genggalong,to make noise,MAKE NOISE,20,Verb,verb,SN000370,2895,1,
genggueng,to scream,SCREAM (PRODUCE A CRY),20,Verb,verb,SN000371,3809,1,
gerket,to ask,ASK (INQUIRE),20,Verb,verb,SN000373,1309,1,
get,[conditional]; (if) not,NOT,11,Conjunction,other,SN000374,1240,1,
giar,to be new,NEW,19,Intransitive verb,adjective,SN000376,1231,1,
giarun,first,FIRST,19,Adverbial modifier,other,SN000377,728,1,
gier,teeth,TOOTH,19,Noun,noun,SN000378,1380,1,
gierkawer,gums,GUMS,19,Noun,noun,SN000379,139,1,
gigiwang,earrings,EARRING,19,Noun,noun,SN000380,770,1,
ginana,glass; diving mask,GLASS,15,Noun,noun,SN000381,604,1,
go,place,PLACE (POSITION),19,Noun,noun,SN000386,723,1,
go kerkap,dusk,DUSK,19,Phrase,noun,SN000391,2297,1,
go saun,(at) night,NIGHT,11,Phrase,noun,SN000393,1233,1,
go yuol,day,DAY (NOT NIGHT),19,Phrase,noun,SN000395,1225,1,
gocie,to live; to stay,BE ALIVE,16,Verb,verb,SN000397,1422,1,
godarung,thunder,THUNDER,19,Noun,noun,SN000398,1150,1,
godelep,lightning,LIGHTNING,19,Noun,noun,SN000399,1654,1,
gokabara,to sweep,SWEEP,20,Intransitive verb,verb,SN000401,230,1,
gol,ball,BALL,19,Noun,noun,SN000402,1845,1,
golma,to twist; to wring,TWIST,16,Transitive verb,verb,SN000404,430,1,
gonggin,to know,KNOW,20,Verb,verb,SN000405,3626,1,
gonggong,jew's harp,JEW’S HARP,19,Noun,noun,SN000406,3319,1,
goni,sack,SACK,19,Noun,noun,SN000408,2990,1,
goparar,wall,WALL (OF HOUSE),19,Noun,noun,SN000409,933,1,
*gor,stalk,PLANT STEM,19,Noun,noun,SN000410,2628,1,
gorun,stalk,PLANT STEM,19,Noun,noun,SN000416,2628,1,
gowienkier,wasp nest; beehive,BEEHIVE,15,Noun,noun,SN000422,88,1,
guadang,to crawl,CRAWL,20,Verb,verb,SN000424,96,1,
guanggarien,to look around; to search for,LOOK FOR,12,Verb,verb,SN000426,1468,1,
guru,teacher,TEACHER,19,Noun,noun,SN000432,1038,1,
gusi,vase,VASE,19,Noun,noun,SN000433,3746,1,
ha,[interjection used when asking for clarification]; what,WHAT,15,Interjection,other,SN000435,1236,1,
habis,because; after all,BECAUSE,15,Conjunction,other,SN000437,1157,1,
haidak,true,TRUE,19,Adverbial modifier,adjective,SN000438,1657,1,
halar,to marry; to get married,MARRY,16,Verb,verb,SN000440,203,1,
halar,marriage,MARRIAGE,19,Noun,noun,SN000441,2432,1,
halus,to be soft; to be fine,SOFT,15,Verb,adjective,SN000442,1856,1,
handuk,towel,TOWEL,19,Noun,noun,SN000443,1021,1,
hanya,only,ONLY,19,Adverbial modifier,other,SN000444,1580,1,
hari,day,DAY (NOT NIGHT),19,Noun,noun,SN000445,1225,1,
hari minggu,Sunday,SUNDAY,19,Noun,noun,SN000446,1699,1,
harus,must,MUST,19,Adverbial modifier,verb,SN000447,971,1,
hidup,to live; to be alive,BE ALIVE,16,Verb,verb,SN000449,1422,1,
hidup,life; way of living,LIFE,15,Noun,noun,SN000450,210,1,
iar,to hold,HOLD,20,Verb,verb,SN000457,1448,1,
iar,cave,CAVE,19,Noun,noun,SN000458,1155,1,
iar,"to transport; to move a lot of things, e.g. cans of oil, sacks of sand or rice (but not limited to non-count)",TRANSPORT,16,Verb,verb,SN000459,2711,1,
ikon,some,SOME,19,Quantifier,other,SN000464,1241,1,
im,banana,BANANA,19,Noun,noun,SN000465,868,1,
imbuang,to be many,MANY,19,Intransitive verb,other,SN000474,1198,1,
ime,"[distal demonstrative, long form]; that",THAT,15,Demonstrative,other,SN000475,78,1,
imene,"[distal demonstrative, long form]; that",THAT,15,Demonstrative,other,SN000476,78,1,
in,[first person plural exclusive]; we (but not you),WE,11,Pronoun,other,SN000478,1212,1,
in,name,NAME,19,Noun,noun,SN000479,1405,1,
inaninggan,we all,ALL,19,Pronoun,other,SN000482,98,1,
ingatan,memory,MEMORY,19,Noun,noun,SN000484,1018,1,
inggon,[first person plural exclusive possessive]; our,OUR,15,Pronoun,other,SN000485,780,1,
inier,[first person dual exclusive]; we two,WE TWO,15,Pronoun,other,SN000488,2634,1,
iren,to be ripe; to be light-skinned (person),RIPE,15,Intransitive verb,adjective,SN000492,178,1,
irie,eight,EIGHT,19,Quantifier,numeral,SN000493,1705,1,
iriskap,to be white,WHITE,11,Intransitive verb,adjective,SN000494,1335,1,
iskap,to plane,AIRPLANE,11,Verb,noun,SN000500,1597,1,
istirahat,to rest,REST,20,Verb,verb,SN000501,168,1,
istop,to stop,HALT (STOP),20,Verb,verb,SN000502,2880,1,
istrat,street,STREET,19,Noun,noun,SN000503,1362,1,
iun,seedling,SEEDLING,19,Noun,noun,SN000506,3050,1,
iwora,monitor lizard,MONITOR LIZARD,19,Noun,noun,SN000509,3017,1,
jabul,to be lazy,LAZY,11,Intransitive verb,adjective,SN000510,1564,1,
jadi,to become,BECOME,20,Verb,verb,SN000511,1990,1,
jadi,so,OF THIS KIND (SUCH),19,Conjunction,other,SN000512,2336,1,
jam,hour; o'clock,HOUR,15,Noun,noun,SN000514,1353,1,
jangkut,beard,BEARD,19,Noun,noun,SN000515,678,1,
janji,to promise,PROMISE,20,Verb,verb,SN000516,1675,1,
jawab,to answer,ANSWER,20,Verb,verb,SN000519,1275,1,
jendela,window,WINDOW,19,Noun,noun,SN000520,1375,1,
jie,to get; to take; to buy; to catch,BUY,16,Verb,verb,SN000521,1869,1,
ka,[second person singular pronoun]; you,YOU,15,Pronoun,other,SN000525,1213,1,
=ka,[lative case]; to; from,FROM,15,Grammatical marker,other,SN000526,693,1,
kabara,to sweep,SWEEP,20,Transitive verb,verb,SN000530,230,1,
kabarua,to watch,WATCH,20,Verb,verb,SN000531,1650,1,
kabas,to be other,OTHER,11,Intransitive verb,other,SN000536,197,1,
kabas,another,OTHER,19,Noun,other,SN000537,197,1,
kabor,to be full,FULL,19,Verb,adjective,SN000540,1429,1,
kabor,stomach,STOMACH,19,Noun,noun,SN000541,819,1,
kabor lalang,hungry,BE HUNGRY,19,Phrase,verb,SN000543,1533,1,
kaborko,to be pregnant,PREGNANT,11,Intransitive verb,adjective,SN000544,1123,1,
kabun,intestines,INTESTINES,19,Noun,noun,SN000547,1991,1,
kacok,to be angry,BE ANGRY,20,Intransitive verb,verb,SN000550,2223,1,
kademor,to be angry (with),BE ANGRY,12,Verb,verb,SN000552,2223,1,
kaden,body,BODY,19,Noun,noun,SN000553,1480,1,
kaden kies,vein,VEIN,19,Noun,noun,SN000554,1924,1,
kaden lalang,"to be sick; to be feverish, lit. ""hot body""",BECOME SICK,12,Intransitive verb,verb,SN000556,2327,1,
kadenenen,body hair,HAIR (BODY),19,Noun,noun,SN000557,189,1,
kadera,chair,CHAIR,19,Noun,noun,SN000558,1476,1,
kadok,sarong,LOINCLOTH,19,Noun,noun,SN000559,1965,1,
kahaman,bottom; buttocks,BUTTOCKS,15,Noun,noun,SN000564,834,1,
kahamanpos,anus,ANUS,19,Noun,noun,SN000565,1935,1,
kahetma,to open; to unwrap; to take something off a wall; to undress; to take a caught fish from the fishhook,OPEN,16,Transitive verb,verb,SN000568,1156,1,
kai,firewood (used for cooking and drying); medicine (traditional),FIREWOOD,11,Noun,noun,SN000570,10,1,
kai kawas,cotton,COTTON,19,Noun,noun,SN000572,1850,1,
kain,[second person singular possessive]; your,YOUR (SINGULAR),15,Pronoun,other,SN000576,732,1,
kainasu,pineapple,PINEAPPLE,19,Noun,noun,SN000577,2440,1,
kalar,to be ready,READY,11,Intransitive verb,adjective,SN000589,790,1,
kalar,to be clear,CLEAR (TO SEE),11,Intransitive verb,adjective,SN000590,3710,1,
kalau,if,IF,19,Conjunction,other,SN000591,1459,1,
kalawen,to be soft,SOFT,19,Intransitive verb,adjective,SN000592,1856,1,
kale,kidneys; heart,HEART,15,Noun,noun,SN000593,1223,1,
kaling,fishing hook,FISHHOOK,19,Noun,noun,SN000596,1074,1,
kaling,frying pan,PAN,19,Noun,noun,SN000597,31,1,
kalis,to rain,RAIN (RAINING),20,Verb,verb,SN000599,1253,1,
kalis,rain,RAIN (PRECIPITATION),19,Noun,noun,SN000600,658,1,
kalis tanggir,rainbow,RAINBOW,19,Noun,noun,SN000602,1733,1,
kalkalet,mosquito,MOSQUITO,19,Noun,noun,SN000603,1509,1,
kalomun,to be unripe,UNRIPE,11,Intransitive verb,adjective,SN000607,1958,1,
kalot,room,ROOM,19,Noun,noun,SN000608,1450,1,
kalung,necklace,NECKLACE,19,Noun,noun,SN000612,1961,1,
kama,to send,SEND,20,Ditransitive verb,verb,SN000613,1127,1,
kaman,grass,GRASS,19,Noun,noun,SN000614,606,1,
kamanget,medicine man; traditional healer,SHAMAN (FOLK HEALER),15,Noun,noun,SN000618,394,1,
kamen,to be wet,WET,19,Intransitive verb,adjective,SN000627,1726,1,
kamfor,stove,STOVE,19,Noun,noun,SN000629,859,1,
kamis,Thursday,THURSDAY,19,Noun,noun,SN000630,1693,1,
kamun,widower,WIDOWER,19,Noun,noun,SN000633,1981,1,
kamung,iron,IRON,19,Noun,noun,SN000634,621,1,
kan,right; you know,RIGHT,15,Interjection,adjective,SN000635,1019,1,
kang,bone; thorn,BONE,15,Noun,noun,SN000643,1394,1,
kang,to be sharp,SHARP,19,Intransitive verb,adjective,SN000644,1396,1,
kang,to fold,FOLD,20,Verb,verb,SN000645,1470,1,
*kang,thorn,THORN,19,Noun,noun,SN000646,124,1,
kanggarom,to be slimy,THIN (SLIM),11,Intransitive verb,adjective,SN000648,1400,1,
kanggei,to play,PLAY,20,Verb,verb,SN000649,1413,1,
kanggeit,game; toy,GAME,15,Noun,noun,SN000651,2467,1,
kanggir,eye,EYE,19,Noun,noun,SN000654,1248,1,
kanggir pop,to be tired; to be sleepy,TIRED,15,Verb,adjective,SN000656,1757,1,
kanggir pulun,eyelid,EYELID,19,Noun,noun,SN000657,17,1,
kanggir saun,to be blind,BLIND,19,Intransitive verb,adjective,SN000658,1653,1,
kanggirar,to face,FACE,11,Verb,noun,SN000659,1560,1,
kanggirar,face,FACE,19,Noun,noun,SN000660,1560,1,
kanggirnar,pupil (of eye); eyeball,EYEBALL,15,Noun,noun,SN000661,3807,1,
kangguar,to be unripe; to be uncooked,UNRIPE,11,Intransitive verb,adjective,SN000663,1958,1,
kanggur,mouth,MOUTH,19,Noun,noun,SN000664,674,1,
kanggus,jaw; chin,CHIN,15,Noun,noun,SN000667,1510,1,
kangun,thorn,THORN,19,Noun,noun,SN000671,124,1,
kangun nerunggo,marrow; inside of bone,MARROW,15,Noun,noun,SN000672,1835,1,
kanie,to tie,TIE,20,Verb,verb,SN000673,1917,1,
-kaning,[intensifier for verbs]; very,VERY,15,Grammatical marker,other,SN000674,1311,1,
kaninggonie,nine,NINE,19,Quantifier,numeral,SN000675,1483,1,
kansuor,four,FOUR,19,Quantifier,numeral,SN000676,1500,1,
kanus,great-grandparent; ancestor,ANCESTORS,15,Noun,noun,SN000678,1669,1,
