headword,sense,concept,similarity,pos,concepticon_pos,sense_id,concepticon_id,include,certainty
kap,to be rotten,ROTTEN,19,Intransitive verb,adjective,SN000680,1728,1,
=kap,[similative case marker]; like; as,LIKE,15,Grammatical marker,verb,SN000681,1117,1,
kapal,ship,SHIP,19,Noun,noun,SN000682,740,1,
kapas,cotton,COTTON,19,Noun,noun,SN000684,1850,1,
kar,vagina,VAGINA,19,Noun,noun,SN000687,1836,1,
karabubu,bubble,BUBBLE,19,Noun,noun,SN000689,3689,1,
karajang,to work; to work on,WORK (ACTIVITY),16,Verb,verb,SN000691,1086,1,
karajang,work,WORK (LABOUR),19,Noun,noun,SN000692,984,1,
karames,to be shy,SHY,11,Verb,adjective,SN000695,487,1,
karan,to be hard,HARD,19,Intransitive verb,adjective,SN000697,1884,1,
karanjang,basket,BASKET,19,Noun,noun,SN000698,1539,1,
karaonggis,to be skinny,THIN (SLIM),19,Intransitive verb,adjective,SN000700,1400,1,
karaonggis,to be blunt,BLUNT,19,Intransitive verb,adjective,SN000701,379,1,
karap,to wrap,WRAP,20,Verb,verb,SN000702,1113,1,
kararak,to dry,DRY,19,Intransitive verb,adjective,SN000703,1398,1,
kararcie,to be broken,BROKEN,11,Intransitive verb,adjective,SN000704,588,1,
karek,rope,ROPE,19,Noun,noun,SN000709,1218,1,
karena,because,BECAUSE,19,Conjunction,other,SN000711,1157,1,
kareng,frog,FROG,19,Noun,noun,SN000712,503,1,
kariemun,cape,CAPE,19,Noun,noun,SN000716,1662,1,
karok,branch,BRANCH,19,Noun,noun,SN000720,1531,1,
karop,arrow,ARROW,19,Noun,noun,SN000722,977,1,
karop,firefly,FIREFLY,19,Noun,noun,SN000723,206,1,
karuok,three,THREE,19,Quantifier,numeral,SN000731,492,1,
karyak,blood,BLOOD,19,Noun,noun,SN000732,946,1,
kasabiti,squash,PUMPKIN,19,Noun,noun,SN000734,864,1,
kasamin,bird,BIRD,19,Noun,noun,SN000737,937,1,
kasar,rough,ROUGH,19,Verb,adjective,SN000739,1923,1,
kasawari,cassowary,CASSOWARY,19,Noun,noun,SN000740,466,1,
kasawircie,"to be opened; to escape (of a caught animal, usually fish)",ESCAPE,12,Intransitive verb,verb,SN000741,1615,1,
kasawirma,to pull,PULL,20,Transitive verb,verb,SN000742,1455,1,
kasep,to draw a line; to mark,SIGN,11,Verb,noun,SN000743,1720,1,
kasian,anyway; whatever; poor,POOR,15,Interjection,adjective,SN000744,1674,1,
*kasir,"joint (in body, or of a plant, e.g. bamboo)",JOINT,11,Noun,noun,SN000746,999,1,
kasorma,to grab (of weapon or tool),SEIZE,12,Transitive verb,verb,SN000750,855,1,
kasuo,to have intercourse; to have sex,COPULATE,16,Verb,verb,SN000752,549,1,
kasur,tomorrow,TOMORROW,19,Adverbial modifier,other,SN000754,1329,1,
kat,river; lake,RIVER,15,Noun,noun,SN000756,666,1,
kawar,to break (often used for glass),BREAK (DESTROY OR GET DESTROYED),12,Verb,verb,SN000763,680,1,
kawarcie,to be broken; to be snapped; to be bent; to be folded,BROKEN,11,Verb,adjective,SN000767,588,1,
kaware,to scratch; to scrape; to grate,SCRATCH,16,Verb,verb,SN000768,1436,1,
kawarma,to break; to fold,FOLD,16,Transitive verb,verb,SN000770,1470,1,
kawarsuop,eel,FRESHWATER EEL,19,Noun,noun,SN000771,1013,1,
kawas,thread,THREAD,19,Noun,noun,SN000773,1161,1,
kawat,branch; stem; stalk,BRANCH,15,Noun,noun,SN000774,1531,1,
kawetkawet,to fold,FOLD,20,Verb,verb,SN000776,1470,1,
kawiawi,to fan,FAN (ACTION),20,Verb,verb,SN000777,360,1,
kawien,mushroom,MUSHROOM,19,Noun,noun,SN000778,641,1,
kawier,"cap, hat",HEADGEAR,19,Noun,noun,SN000779,2130,1,
kawotma,to peel,PEEL,20,Verb,verb,SN000781,275,1,
kawuok,peanut; bean,BEAN,15,Noun,noun,SN000782,832,1,
ke,slave,SLAVE,19,Noun,noun,SN000786,812,1,
keirko,day after tomorrow,DAY AFTER TOMORROW,19,Adverbial modifier,other,SN000794,1179,1,
keirun,top; upper side,TOP,15,Noun,noun,SN000795,1753,1,
*keit,top; upper side,TOP,15,Noun,noun,SN000798,1753,1,
keitar,day before yesterday,DAY BEFORE YESTERDAY,19,Adverbial modifier,other,SN000799,1180,1,
keitko,above; on top (of),ABOVE,15,Noun,other,SN000801,1741,1,
keitko,top,TOP,19,Noun,noun,SN000802,1753,1,
keleng,armpit,ARMPIT,19,Noun,noun,SN000805,1886,1,
kelkam,ear,EAR,19,Noun,noun,SN000808,1247,1,
kelkam,naughty; stubborn (of a child),STUBBORN,11,Noun,adjective,SN000809,3634,1,
kelkam toktok,to be deaf,DEAF,19,Intransitive verb,adjective,SN000812,996,1,
kelua,to hear; to listen,HEAR,16,Verb,verb,SN000814,1408,1,
keluar,to go out,GO OUT,20,Verb,verb,SN000815,1107,1,
keluer,crab,CRAB,19,Noun,noun,SN000816,2348,1,
kemanur,west; wet season; west wind,WEST,15,Noun,noun,SN000818,1817,1,
kemanurep,west,WEST,19,Noun,noun,SN000819,1817,1,
kememe,to be weak,WEAK,19,Intransitive verb,adjective,SN000821,1601,1,
kerar,turtle,TURTLE,19,Noun,noun,SN000824,112,1,
kerkap,to be red; to be brown (e.g. the colour of tea or foreigner's hair or skin),RED,11,Intransitive verb,adjective,SN000825,156,1,
kerunggo,on top of; above,ABOVE,15,Noun,other,SN000828,1741,1,
ketan,parent-in-law; child-in-law,CHILD-IN-LAW,15,Noun,noun,SN000829,1060,1,
keteles,maize; corn,MAIZE,15,Noun,noun,SN000830,506,1,
ketemu,to meet,MEET,20,Verb,verb,SN000831,1831,1,
kewe,house,HOUSE,19,Noun,noun,SN000833,1252,1,
ki,[second person plural]; you,YOU,15,Pronoun,other,SN000835,1213,1,
kian,my wife,WIFE,19,Noun,noun,SN000840,1199,1,
*kiar,wife,WIFE,19,Noun,noun,SN000841,1199,1,
kidi,to lie; to joke,LIE (REST),16,Verb,verb,SN000847,1411,1,
kiek,shade,SHADE,19,Noun,noun,SN000848,1388,1,
kiekter,shadow,SHADE,19,Noun,noun,SN000849,1388,1,
*kiel,root,ROOT,19,Noun,noun,SN000851,670,1,
kielun,root,ROOT,19,Noun,noun,SN000854,670,1,
kiem,basket,BASKET,19,Noun,noun,SN000855,1539,1,
kiem,to flee; to run,RUN,16,Verb,verb,SN000856,1519,1,
kiempanait,to send,SEND,20,Ditransitive verb,verb,SN000857,1127,1,
kier,sail,SAIL,19,Noun,verb,SN000859,787,1,
kier,[second person dual]; they two,THEY TWO,15,Pronoun,other,SN000860,2635,1,
kierun,"cloud (in combination with name of a wind, like Kuawi)",CLOUD,11,Noun,noun,SN000862,1489,1,
kies,to carve,CARVE,20,Verb,verb,SN000863,228,1,
kies,to wrap; to package,WRAP,16,Verb,verb,SN000864,1113,1,
kies,wrap; package,WRAP,15,Noun,verb,SN000865,1113,1,
kieskon,"one (long, thin thing)",ONE,11,Quantifier,numeral,SN000869,1493,1,
kiet,to defecate,SHIT (DEFECATE),20,Verb,verb,SN000870,676,1,
kiet,faeces; excreted substance,FAECES (EXCREMENT),15,Noun,noun,SN000871,675,1,
kietkiet,to defecate,SHIT (DEFECATE),20,Verb,verb,SN000872,676,1,
kietpo,fart,FART,19,Noun,verb,SN000874,1159,1,
kin,[second person plural possessive]; their,THEIR,15,Pronoun,other,SN000879,2400,1,
kinaninggan,you all,YOU,19,Pronoun,other,SN000883,1213,1,
kinggir,to sail,SAIL,20,Verb,verb,SN000885,787,1,
kinkin,to hold; to catch,HOLD,16,Verb,verb,SN000886,1448,1,
kinkin,to be small,SMALL,19,Intransitive verb,adjective,SN000887,1246,1,
kinkinun,to be small,SMALL,19,Intransitive verb,adjective,SN000888,1246,1,
kion,to marry; to be married (of a man to a woman),MARRY,16,Verb,verb,SN000890,203,1,
kip,snake,SNAKE,19,Noun,noun,SN000892,730,1,
kir,to be greedy,GREEDY,11,Intransitive verb,adjective,SN000894,2018,1,
kir,to grate,GRATE (SOMETHING),12,Verb,verb,SN000895,3114,1,
kir,side; kidneys,SIDE,15,Noun,noun,SN000896,682,1,
kirarun,side,SIDE,19,Noun,noun,SN000899,682,1,
kirkangkang,ribs,RIB,19,Noun,noun,SN000901,801,1,
kisileng,sky,SKY,19,Noun,noun,SN000903,1732,1,
ko,shell,SHELL,19,Noun,noun,SN000904,598,1,
kobelen,to lick,LICK,20,Verb,verb,SN000909,319,1,
kobes,to reach,ARRIVE,20,Verb,verb,SN000910,1387,1,
kodaet,again,AGAIN,19,Adverbial modifier,other,SN000912,204,1,
koder,to add,ADD,20,Verb,verb,SN000914,2882,1,
kodi,to call; to whistle; to call by making noise,CALL,16,Verb,verb,SN000915,1084,1,
koep,ashes,ASH,19,Noun,noun,SN000917,646,1,
kofir,coffee,COFFEE,19,Noun,noun,SN000919,1299,1,
koi,again,AGAIN,19,Adverbial modifier,other,SN000920,204,1,
koi,then; further,THEN,15,Conjunction,other,SN000921,2921,1,
kokarap,to circle,CIRCLE,11,Verb,noun,SN000923,1467,1,
kokies,to wrap (e.g. leaf medicine around limb),WRAP,12,Transitive verb,verb,SN000926,1113,1,
kokir,to be near,NEAR,19,Intransitive verb,adjective,SN000927,1942,1,
kokok,chicken,CHICKEN,19,Noun,noun,SN000929,1318,1,
kokok ladok,quail,QUAIL,19,Noun,noun,SN000930,1893,1,
*kol,different; outside,OUTSIDE,15,Noun,other,SN000933,762,1,
kolak,forest; mountain; mainland,MOUNTAIN,15,Noun,noun,SN000934,639,1,
kolambu,mosquito net,MOSQUITO NET,19,Noun,noun,SN000935,2795,1,
kolet,stranger; foreigner,STRANGER,15,Noun,noun,SN000936,791,1,
koliep,cheek,CHEEK,19,Noun,noun,SN000938,1730,1,
kolkiem,thigh,UPPER LEG (THIGH),19,Noun,noun,SN000940,471,1,
kolkiet,earwax,EARWAX,19,Noun,noun,SN000941,32,1,
kolko,outside,OUTSIDE,19,Noun,other,SN000942,762,1,
kolkom,footprint,FOOTPRINT,19,Noun,noun,SN000944,318,1,
kolo,to pull out; to unplug,PULL OUT,16,Verb,verb,SN000945,2325,1,
kolpis,another place; other side; outside,OUTSIDE,15,Noun,other,SN000947,762,1,
koluk,to find; to meet; to encounter,MEET,16,Verb,verb,SN000950,1831,1,
kom,cane,SUGAR CANE,19,Noun,noun,SN000951,146,1,
komain,to stab; to throw; to skewer; to fit,THROW,16,Verb,verb,SN000953,1456,1,
komamun,to drop; to slip,SLIP,16,Verb,verb,SN000954,1324,1,
komaruk,to burn,BURN,20,Verb,verb,SN000958,2102,1,
komasabur,to cover (e.g. with cloth); to close (e.g. lid); to dress,COVER,12,Verb,verb,SN000959,761,1,
kome,to see,SEE,20,Transitive verb,verb,SN000962,1409,1,
kome,to look (at),LOOK,12,Verb,verb,SN000963,1819,1,
komelek,to burn (oil lamp),BURN,12,Verb,verb,SN000964,2102,1,
komurkomur,cucumber,CUCUMBER,19,Noun,noun,SN000967,496,1,
komurkomur,to rinse,RINSE,20,Verb,verb,SN000968,2904,1,
kon,one,ONE,19,Quantifier,numeral,SN000969,1493,1,
kona,to think,THINK,20,Intransitive verb,verb,SN000972,2271,1,
kona,to see; to look,SEE,16,Verb,verb,SN000973,1409,1,
konasur,to face,FACE,11,Verb,noun,SN000975,1560,1,
konawaruo,to forget,FORGET,20,Verb,verb,SN000976,1523,1,
konenen,to remember; to miss,REMEMBER,16,Verb,verb,SN000979,707,1,
=kongga,[animate lative case]; from; to,FROM,15,Grammatical marker,other,SN000981,693,1,
konggelem,to grab,SEIZE,12,Verb,verb,SN000984,855,1,
kopol,to be sticky; to be coupled; to be linked,STICKY,11,Verb,adjective,SN000987,3703,1,
kor,leg,LEG,19,Noun,noun,SN000988,1297,1,
koraruo,to bite,BITE,20,Verb,verb,SN000993,1403,1,
korgi marmar,to walk,WALK,20,Verb,verb,SN000996,1443,1,
korkasir,ankle,ANKLE,19,Noun,noun,SN000998,803,1,
kormul,calf of leg,CALF OF LEG,19,Noun,noun,SN001003,498,1,
korpak,knee,KNEE,19,Noun,noun,SN001006,1371,1,
korparokparok,toes,TOE,19,Noun,noun,SN001007,1389,1,
korus,shin,SHIN,19,Noun,noun,SN001010,186,1,
kos,to grow,GROW,20,Verb,verb,SN001011,479,1,
kosalir,to (ex)change,CHANGE,12,Transitive verb,verb,SN001012,1264,1,
kosara,to touch; to hit; to recognise,HIT,16,Verb,verb,SN001014,1433,1,
koser,to lock,LOCK,11,Verb,noun,SN001017,1596,1,
koser,key,KEY,19,Noun,noun,SN001018,1472,1,
kosiaur,to hand; to offer; to put in; to push,PUSH,16,Verb,verb,SN001019,1452,1,
kosom,to suck; to smoke,SUCK,16,Verb,verb,SN001022,1421,1,
kotipol,"to miss; to cut or throw at a living being, without the weapon really entering the flesh",MISS (A TARGET),16,Verb,verb,SN001028,161,1,
kotur,to be dirty,DIRTY,19,Intransitive verb,adjective,SN001029,1230,1,
kotur,dirt,DIRT,19,Noun,noun,SN001030,25,1,
kou,to blow,BLOW (OF WIND),20,Verb,verb,SN001031,175,1,
kou,"to be narrow; to be close, dense, crowded",NARROW,15,Intransitive verb,adjective,SN001032,1267,1,
koup,to hug,EMBRACE,12,Verb,verb,SN001033,928,1,
kouran,to be angry,BE ANGRY,20,Intransitive verb,verb,SN001034,2223,1,
kowam,whale,WHALE,19,Noun,noun,SN001039,957,1,
kowaram,to clamp; to pinch,PINCH,16,Verb,verb,SN001042,378,1,
kowaram,tongs; clamp,TONGS,15,Noun,noun,SN001043,272,1,
kowat,to change (in the sense of give back),CHANGE,12,Verb,verb,SN001046,1264,1,
kowewep,to be brown; grey,GREY,15,Intransitive verb,adjective,SN001047,153,1,
koya,to plant,PLANT (SOMETHING),20,Verb,verb,SN001048,1486,1,
koyal,to disturb; to mix; to stir,MIX,16,Verb,verb,SN001050,2017,1,
koyal,to scrape (food); to grate; to feel itchy,SCRAPE,12,Verb,verb,SN001051,1767,1,
koyen,to close; to cover drink with a lid or food with a cloth or a cover,SHUT,16,Verb,verb,SN001053,1046,1,
koyos,to climb,CLIMB,20,Verb,verb,SN001055,1102,1,
kuang,"to pass; to go round (a cape, a house)",PASS,16,Verb,verb,SN001057,1951,1,
kuar,to cook,COOK (SOMETHING),20,Verb,verb,SN001058,1100,1,
kuat,to be strong,STRONG,19,Intransitive verb,adjective,SN001059,785,1,
kuawi,north; north wind,NORTH,15,Noun,noun,SN001060,1598,1,
kubir,grave,GRAVE,19,Noun,noun,SN001062,1773,1,
kubirar,graveyard; graves,GRAVEYARD,15,Noun,noun,SN001063,3284,1,
kuda,horse,HORSE,19,Noun,noun,SN001065,615,1,
kuek,to steal,STEAL,20,Verb,verb,SN001069,713,1,
kuek,fruit bat,FLYING FOX,19,Noun,noun,SN001070,235,1,
kuet,to bring,BRING,20,Verb,verb,SN001072,692,1,
kulikuli,gong,GONG,19,Noun,noun,SN001078,2502,1,
kulun,skin,SKIN,19,Noun,noun,SN001081,763,1,
kumbai,owl,OWL,19,Noun,noun,SN001082,735,1,
kumkum,"to be male (of trees, e.g. nutmeg, coconut, papaya)",MALE,11,Intransitive verb,adjective,SN001083,1553,1,
kurap,dolphin,DOLPHIN,19,Noun,noun,SN001089,1479,1,
kurera,to sieve,SIEVE,20,Verb,verb,SN001090,86,1,
kurera,octopus,OCTOPUS,19,Noun,noun,SN001092,2581,1,
kuru,to bring,BRING,20,Verb,verb,SN001094,692,1,
kus,charcoal,CHARCOAL,19,Noun,noun,SN001096,1188,1,
kuskap,to be black,BLACK,11,Intransitive verb,adjective,SN001097,163,1,
ladan,blouse; shirt,SHIRT,15,Noun,noun,SN001102,1622,1,
lajarang,horse,HORSE,19,Noun,noun,SN001103,615,1,
lalang,to be hot,HOT,19,Intransitive verb,adjective,SN001105,1286,1,
lalat,to die,DIE,20,Verb,verb,SN001106,1494,1,
laluon,to grub (what a pig does when searching for food),GRUB,11,Verb,noun,SN001107,3011,1,
lampur,lamp,LAMP,19,Noun,noun,SN001111,625,1,
langjut,to continue,CONTINUE,20,Verb,verb,SN001118,3699,1,
langka,to fight (Southeast Asian martial arts style),FIGHT,12,Verb,verb,SN001119,1423,1,
lapas,to drop,DROP,20,Verb,verb,SN001123,750,1,
lat,plank,BOARD,19,Noun,noun,SN001126,1227,1,
lauk,to smell,SMELL,20,Verb,verb,SN001127,2124,1,
lauk,to appear; to turn up; to exit; to protrude,GO OUT,16,Verb,verb,SN001128,1107,1,
laur,"to boil; (of fish) to play under the surface of water, so that the water looks as if it's boiling",BOIL,16,Intransitive verb,verb,SN001129,2493,1,
laus,to be wide,WIDE,19,Intransitive verb,adjective,SN001132,1243,1,
laut,sea,SEA,19,Noun,noun,SN001133,1474,1,
lawalawat,pouch,POUCH,19,Noun,noun,SN001135,2951,1,
lawarun,womb,WOMB,19,Noun,noun,SN001138,804,1,
layier,to be itchy,ITCHY,19,Intransitive verb,adjective,SN001143,149,1,
lebe,to be more; to go past; to exceed,MORE,11,Verb,other,SN001147,1992,1,
leit,king,KING,19,Noun,noun,SN001149,1508,1,
leit pas,queen,QUEEN,19,Noun,noun,SN001150,1306,1,
lek,goat,GOAT,19,Noun,noun,SN001151,1502,1,
leki,monkey,MONKEY,19,Noun,noun,SN001153,1350,1,
lem,to beckon; to order,ORDER,16,Verb,verb,SN001155,1128,1,
lembaga,prison,PRISON,19,Noun,noun,SN001158,1281,1,
lempuang,island,ISLAND,19,Noun,noun,SN001160,622,1,
leng dek,earthquake,EARTHQUAKE,19,Phrase,noun,SN001165,6,1,
lenggalengga,chilli; sambal,CHILI PEPPER,15,Noun,noun,SN001166,919,1,
lepir,rafter (of a roof),RAFTER,11,Noun,noun,SN001170,829,1,
lewat,to pass; to go on,PASS,16,Verb,verb,SN001174,1951,1,
licing,to be slippery; to be smooth,SMOOTH,15,Intransitive verb,adjective,SN001175,1234,1,
lidan,friend,FRIEND,19,Noun,noun,SN001176,1325,1,
linggis,dibble stick; tool for carving wood,DIBBLE STICK,15,Noun,noun,SN001178,3155,1,
liti,bracelet,BRACELET,19,Noun,noun,SN001179,1754,1,
lo,to consent; to like,LIKE,16,Verb,verb,SN001180,1117,1,
loku,to catch (from above),CATCH,12,Verb,verb,SN001185,702,1,
lokul,bark,BARK,19,Noun,noun,SN001186,1204,1,
lolok,leaf,LEAF,19,Noun,noun,SN001187,628,1,
lolok,money,MONEY,19,Noun,noun,SN001188,1559,1,
lolouk,hole (in the ground),HOLE,11,Noun,noun,SN001189,1667,1,
loncing,watch,WATCH,19,Noun,verb,SN001190,1650,1,
los,harbour; bridge; dock,BRIDGE,15,Noun,noun,SN001194,1011,1,
lu,to be cold,COLD,19,Intransitive verb,adjective,SN001199,1287,1,
luk,to come,COME,20,Verb,verb,SN001202,1446,1,
lusi,eagle,EAGLE,19,Noun,noun,SN001203,1905,1,
ma,[third person singular]; he; she; it,HE,15,Pronoun,other,SN001206,1211,1,
mabuk,to be drunk,DRUNK,19,Verb,adjective,SN001211,1463,1,
madong,to stretch; to stretch out (body or body parts); to untangle (fishing line),STRETCH,16,Verb,verb,SN001212,214,1,
-mahap,all,ALL,19,Grammatical marker,other,SN001214,98,1,
main,[third person singular possessive pronoun]; his; hers; its,HIS (GENITIVE OF HE),15,Pronoun,other,SN001217,2473,1,
malaouk,to turn over,TURN OVER,20,Verb,verb,SN001225,3537,1,
malawan,quarrel,QUARREL,19,Verb,noun,SN001226,1848,1,
malor,loincloth,LOINCLOTH,19,Noun,noun,SN001231,1965,1,
malu,to swear,SWEAR,20,Verb,verb,SN001232,1939,1,
mama,uncle; mother's brother,UNCLE,15,Noun,noun,SN001234,1327,1,
mama,mama; mother,MOTHER,15,Noun,noun,SN001235,1216,1,
mama caun,uncle; mother's younger brother,UNCLE,15,Noun,noun,SN001236,1327,1,
mama temun,uncle; mother's older brother,UNCLE,15,Noun,noun,SN001237,1327,1,
mambara,to stand,STAND,20,Verb,verb,SN001238,1442,1,
mambon,[existential]; to be there,THERE,11,Verb,other,SN001239,1937,1,
mamor,hornbill,HORNBILL,19,Noun,noun,SN001241,3260,1,
mamun,to leave,LEAVE,20,Verb,verb,SN001242,1752,1,
manadu,taro,TARO,19,Noun,noun,SN001244,351,1,
mang,to be bitter,BITTER,19,Intransitive verb,adjective,SN001245,887,1,
mang,language; voice,LANGUAGE,15,Noun,noun,SN001246,1307,1,
manggamangga,gong,GONG,19,Noun,noun,SN001247,2502,1,
manggang,to hang up,HANG UP,20,Transitive verb,verb,SN001248,357,1,
manggaren,to crawl; to creep (plants),CRAWL,16,Verb,verb,SN001249,96,1,
maraok,to crush,CRUSH,20,Transitive verb,verb,SN001262,1520,1,
maraouk,to put,PUT,20,Verb,verb,SN001263,998,1,
mararak,to dry; to put on dry land,DRY,15,Verb,adjective,SN001264,1398,1,
marau,gold,GOLD,19,Noun,noun,SN001265,1369,1,
marmar,to walk,WALK,20,Verb,verb,SN001266,1443,1,
marum,to slice; to cut,CUT,16,Verb,verb,SN001269,1432,1,
marur,mucus,NASAL MUCUS (SNOT),19,Noun,noun,SN001270,208,1,
masa,to dry in the sun,DRY IN SUN,12,Verb,verb,SN001272,3364,1,
masak,to lift,LIFT,20,Verb,verb,SN001273,501,1,
masarut,to tear; to rip,TEAR (SHRED),16,Verb,verb,SN001277,1735,1,
masawin,centipede; scorpion,SCORPION,15,Noun,noun,SN001278,1538,1,
maser,star,STAR,19,Noun,noun,SN001279,1430,1,
maser,starfish,STARFISH,19,Noun,noun,SN001280,3032,1,
masikit,mosque,MOSQUE,19,Noun,noun,SN001281,1603,1,
masinul,dew,DEW,19,Noun,noun,SN001282,1977,1,
masir,to weed,PULL UP WEEDS,12,Verb,verb,SN001283,3548,1,
masoi,cuckoo (larger species),CUCKOO,11,Noun,noun,SN001284,2934,1,
masuk,to enter,ENTER,20,Verb,verb,SN001288,749,1,
mata dimdim,firefly,FIREFLY,19,Noun,noun,SN001291,206,1,
matur,to drop,DROP,20,Transitive verb,verb,SN001293,750,1,
mau,to want,WANT,20,Verb,verb,SN001294,1784,1,
maulma,to bend,BEND,20,Transitive verb,verb,SN001297,2004,1,
mawal,to be thick,THICK,19,Intransitive verb,adjective,SN001298,1244,1,
mayilma,to turn over; to flip,TURN OVER,16,Transitive verb,verb,SN001300,3537,1,
me,[distal demonstrative]; that,THAT,15,Demonstrative,other,SN001301,78,1,
mecua,to save; to store; to put away; to bury,BURY,16,Verb,verb,SN001303,1719,1,
mei,come!,COME,19,Verb,verb,SN001304,1446,1,
meja,table,TABLE,19,Noun,noun,SN001305,1775,1,
meleluo,to sit,SIT,20,Verb,verb,SN001309,1416,1,
mena,later; soon; then,SOON,15,Adverbial modifier,other,SN001310,703,1,
mengerti,to understand,UNDERSTAND,20,Verb,verb,SN001313,1536,1,
mengga,[lative distal demonstrative]; to there; from there,THERE,11,Demonstrative,other,SN001314,1937,1,
menyanyi,to sing,SING,20,Verb,verb,SN001315,1261,1,
mera,then; later; so,THEN,15,Conjunction,other,SN001316,2921,1,
merar,mole,MOLE,19,Noun,noun,SN001318,1907,1,
merengguen,to heap; to gather,GATHER,16,Verb,verb,SN001320,7,1,
mesang,gills,GILL,19,Noun,noun,SN001323,1916,1,
met,"[distal demonstrative, object form]; that",THAT,15,Demonstrative,other,SN001325,78,1,
metko,[locative distal demonstrative]; there,THERE,15,Demonstrative,other,SN001326,1937,1,
mia,to come,COME,20,Verb,verb,SN001327,1446,1,
mier,[third person dual]; they two,THEY TWO,15,Pronoun,other,SN001331,2635,1,
mikon,to be full,FULL,19,Intransitive verb,adjective,SN001332,1429,1,
min,to sleep,SLEEP,20,Verb,verb,SN001333,1585,1,
min,liver; Adam's apple; throat; voice,LIVER,15,Noun,noun,SN001334,1224,1,
minar,larynx; Adam's apple,ADAM'S APPLE,15,Noun,noun,SN001335,802,1,
ming,oil,OIL (ORGANIC SUBSTANCE),19,Noun,noun,SN001337,1484,1,
minggalot,sleeping area; bed; bedroom,BED,15,Noun,noun,SN001338,1663,1,
minggaruk,to snore,SNORE,20,Verb,verb,SN001339,1983,1,
minggu,week; Sunday,WEEK,15,Noun,noun,SN001341,1469,1,
minum,to drink; to drink alcohol,DRINK,16,Verb,verb,SN001344,1401,1,
mirik,to sing,SING,20,Verb,verb,SN001346,1261,1,
mirik,song,SONG,19,Noun,noun,SN001347,1096,1,
mirkon,one (canoe),ONE,11,Quantifier,numeral,SN001348,1493,1,
m'm,[agreement interjection]; yes,YES,15,Interjection,other,SN001350,1268,1,
mon,to be quick,FAST,11,Intransitive verb,adjective,SN001354,1631,1,
monkaret,to be lazy,LAZY,11,Intransitive verb,adjective,SN001355,1564,1,
mor,to be sour,SOUR,19,Intransitive verb,adjective,SN001356,1906,1,
mormor,to hide,HIDE,20,Verb,verb,SN001358,2486,1,
mososor,to be diligent,DILIGENT,11,Intransitive verb,adjective,SN001360,2077,1,
mosun,season,SEASON,19,Noun,noun,SN001361,691,1,
motor,motor,MOTOR,19,Noun,noun,SN001362,110,1,
mu,[third person plural]; they,THEY,15,Pronoun,other,SN001363,817,1,
muap,to eat,EAT,20,Verb,verb,SN001364,1336,1,
muap,food,FOOD,19,Noun,noun,SN001365,256,1,
muap sabur sangganun,sago grub,SAGO GRUB,19,Noun,noun,SN001368,2802,1,
